,output_file,content,restriction,sub_content
0,,,,
1,（一 ),农、林、牧、渔业及相关工业,,农、林、牧、渔业及相关工业
2,１,荒地、荒山、滩涂开垦、开发（含有军事设施的除外），中低产田改造,,荒地、荒山、滩涂开垦、开发（含有军事设施的除外），中低产田改造
3,２,糖料、果树、蔬菜、花卉、牧草等农作物优质高产新品种、新技术开发,,糖料、果树、蔬菜、花卉、牧草等农作物优质高产新品种、新技术开发
4,３,蔬菜、花卉无土栽培系列化生产,,蔬菜、花卉无土栽培系列化生产
5,４,林木营造及林木良种引进,,林木营造及林木良种引进
6,５,优良种畜种禽、水产苗种繁育（不含我国特有的珍贵优良品种）,,优良种畜种禽、水产苗种繁育（不含我国特有的珍贵优良品种）
7,６,名特优水产品养殖,,名特优水产品养殖
8,７,高效、安全的农药原药新品种（杀虫率、杀菌率达８０％及以上，对人畜、作物等安全）,,高效、安全的农药原药新品种（杀虫率、杀菌率达８０％及以上，对人畜、作物等安全）
9,８,高浓度化肥（钾肥、磷肥）,,高浓度化肥（钾肥、磷肥）
10,９,农膜生产新技术及新产品开发（纤维膜、光解膜、多功能膜及原料）,,农膜生产新技术及新产品开发（纤维膜、光解膜、多功能膜及原料）
11,１０,动物用抗菌原料药（包括抗生素、化学合成类）,,动物用抗菌原料药（包括抗生素、化学合成类）
12,１１,动物用驱虫药、杀虫药、抗球虫药新产品及新剂型,,动物用驱虫药、杀虫药、抗球虫药新产品及新剂型
13,１２,饲料添加剂及饲料蛋白资源开发,,饲料添加剂及饲料蛋白资源开发
14,１３,粮食、蔬菜、水果、肉食品、水产品的贮藏、保鲜、干燥、加工新技术、新设备,,粮食、蔬菜、水果、肉食品、水产品的贮藏、保鲜、干燥、加工新技术、新设备
15,１４,林业化学产品及林区“次、小、薪”材和竹材的综合利用新技术、新产品,,林业化学产品及林区“次、小、薪”材和竹材的综合利用新技术、新产品
16,１５,综合利用水利枢纽的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,综合利用水利枢纽的建设、经营
17,１６,节水灌溉新技术设备制造,,节水灌溉新技术设备制造
18,１７,农业机具新技术设备制造,,农业机具新技术设备制造
19,１８,生态环境整治和建设工程,,生态环境整治和建设工程
20,（二 ),轻工业,,轻工业
21,１,非金属制品模具设计、加工、制造,,非金属制品模具设计、加工、制造
22,２,纸浆（年产木浆１７万吨及以上，并建设相应的原料基地）,,纸浆（年产木浆１７万吨及以上，并建设相应的原料基地）
23,３,皮革后整饰加工及其新技术设备制造,,皮革后整饰加工及其新技术设备制造
24,４,无汞碱锰二次电池、锂离子电池生产,,无汞碱锰二次电池、锂离子电池生产
25,５,高技术含量的特种工业缝纫机生产,,高技术含量的特种工业缝纫机生产
26,６,聚酰亚胺保鲜薄膜生产,,聚酰亚胺保鲜薄膜生产
27,７,新型、高效酶制剂生产,,新型、高效酶制剂生产
28,８,合成香料、单离香料生产,,合成香料、单离香料生产
29,９,替代氟利昂应用技术研究及推广,,替代氟利昂应用技术研究及推广
30,１０,烟用二醋酸纤维素及丝束加工,,烟用二醋酸纤维素及丝束加工
31,（三 ),纺织工业,,纺织工业
32,１,纺织化纤木浆（年产１０万吨及以上，并建设相应的原料基地）,,纺织化纤木浆（年产１０万吨及以上，并建设相应的原料基地）
33,２,工业用特种纺织品,,工业用特种纺织品
34,３,高仿真化纤及高档织物面料的印染及后整理加工,,高仿真化纤及高档织物面料的印染及后整理加工
35,４,纺织用助剂、油剂、染化料生产,,纺织用助剂、油剂、染化料生产
36,（四 ),交通运输、邮电通信业,,交通运输、邮电通信业
37,１,铁路运输技术设备：机车车辆及主要部件设计与制造、线路设备设计与制造、高速铁路有关技术与设备制造、通信信号和运输安全监,,铁路运输技术设备：机车车辆及主要部件设计与制造、线路设备设计与制造、高速铁路有关技术与设备制造、通信信号和运输安全监
38,,,,
39,２,支线铁路、地方铁路及其桥梁、隧道、轮渡设施的建设、经营（不允许外商独资）,,支线铁路、地方铁路及其桥梁、隧道、轮渡设施的建设、经营（不允许外商独资）
40,３,公路、港口新型机械设备设计与制造,,公路、港口新型机械设备设计与制造
41,４,城市地铁及轻轨的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,城市地铁及轻轨的建设、经营
42,５,公路、独立桥梁和隧道的建设、经营,,公路、独立桥梁和隧道的建设、经营
43,６,港口公用码头设施的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,港口公用码头设施的建设、经营
44,７,民用机场的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,民用机场的建设、经营
45,８,蜂窝移动通信交叉连接／码分多址（ＤＣＳ／ＣＤＭＡ）系统设备制造,,蜂窝移动通信交叉连接／码分多址（ＤＣＳ／ＣＤＭＡ）系统设备制造
46,９,２５千兆比／秒（２５ＧＢ／Ｓ）及以上光同步、微波同步数字系列传输设备制造,,２５千兆比／秒（２５ＧＢ／Ｓ）及以上光同步、微波同步数字系列传输设备制造
47,１０,２５千兆比／秒（２５ＧＢ／Ｓ）光通信、无线通信、数据通信计量仪表制造,,２５千兆比／秒（２５ＧＢ／Ｓ）光通信、无线通信、数据通信计量仪表制造
48,１１,异步转移模式（ＡＴＭ）交换机设备制造,,异步转移模式（ＡＴＭ）交换机设备制造
49,（五 ),煤炭工业,,煤炭工业
50,１,煤炭采掘运选设备设计与制造,,煤炭采掘运选设备设计与制造
51,２,煤炭开采与洗选（特种、稀有煤种由中方控股或占主导地位）,特种、稀有煤种由中方控股或占主导地位,煤炭开采与洗选
52,３,水煤浆、煤炭液化生产,,水煤浆、煤炭液化生产
53,４,煤炭综合开发利用,,煤炭综合开发利用
54,５,低热值燃料及伴生资源综合开发利用,,低热值燃料及伴生资源综合开发利用
55,６,煤炭管道运输,,煤炭管道运输
56,７,煤层气勘查、开发,,煤层气勘查、开发
57,（六 ),电力工业,,电力工业
58,１,单机容量３０万千瓦及以上火电站的建设、经营,,单机容量３０万千瓦及以上火电站的建设、经营
59,２,发电为主水电站的建设、经营,,发电为主水电站的建设、经营
60,３,核电站的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,核电站的建设、经营
61,４,煤洁净燃烧技术电站的建设、经营,,煤洁净燃烧技术电站的建设、经营
62,５,新能源电站的建设、经营（包括太阳能、风能、磁能、地热能、潮汐能、生物质能等）,,新能源电站的建设、经营（包括太阳能、风能、磁能、地热能、潮汐能、生物质能等）
63,（七 ),黑色冶金工业,,黑色冶金工业
64,１,５０吨及以上超高功率电炉（配备炉外精炼和连铸）、５０吨及以上转炉炼钢,,５０吨及以上超高功率电炉（配备炉外精炼和连铸）、５０吨及以上转炉炼钢
65,２,不锈钢冶炼,,不锈钢冶炼
66,３,冷轧硅钢片生产,,冷轧硅钢片生产
67,４,热、冷轧不锈钢板生产,,热、冷轧不锈钢板生产
68,５,石油钢管,,石油钢管
69,６,废钢加工和处理,,废钢加工和处理
70,７,铁矿、锰矿采选,,铁矿、锰矿采选
71,８,直接还原铁和熔融还原铁生产,,直接还原铁和熔融还原铁生产
72,９,高铝矾土、硬质粘土矿开采及熟料生产,,高铝矾土、硬质粘土矿开采及熟料生产
73,１０,针状焦、捣固焦和煤焦油深加工,,针状焦、捣固焦和煤焦油深加工
74,１１,干熄焦生产,,干熄焦生产
75,（八 ),有色金属工业,,有色金属工业
76,１,单晶硅（直径８英寸及以上）、多晶硅生产,,单晶硅（直径８英寸及以上）、多晶硅生产
77,２,硬质合金、锡化合物、锑化合物生产,,硬质合金、锡化合物、锑化合物生产
78,３,有色金属复合材料、新型合金材料生产,,有色金属复合材料、新型合金材料生产
79,４,铜、铅、锌矿开采（不允许外商独资）,,铜、铅、锌矿开采（不允许外商独资）
80,５,铝矿开采（不允许外商独资），年产３０万吨及以上氧化铝生产,,铝矿开采（不允许外商独资），年产３０万吨及以上氧化铝生产
81,６,稀土应用,,稀土应用
82,（九 ),石油、石油化工及化学工业,,石油、石油化工及化学工业
83,１,烧碱用离子膜生产,,烧碱用离子膜生产
84,２,年产６０万吨及以上乙烯（中方控股或占主导地位）,中方控股或占主导地位,年产６０万吨及以上乙烯
85,３,聚氯乙烯树脂（中方控股或占主导地位）,中方控股或占主导地位,聚氯乙烯树脂
86,４,乙烯副产品Ｃ５－Ｃ９产品的综合利用,,乙烯副产品Ｃ５－Ｃ９产品的综合利用
87,５,工程塑料及塑料合金,,工程塑料及塑料合金
88,６,合成材料的配套原料：双酚Ａ、丁苯吡胶乳、吡啶、４４二苯基甲烷二异氰酸酯、甲苯二异氰酸酯,,合成材料的配套原料：双酚Ａ、丁苯吡胶乳、吡啶、４４二苯基甲烷二异氰酸酯、甲苯二异氰酸酯
89,７,基本有机化工原料：苯、甲苯、二甲苯（对、邻、间）衍生物产品的综合利用,,基本有机化工原料：苯、甲苯、二甲苯（对、邻、间）衍生物产品的综合利用
90,８,合成橡胶：溶液丁苯橡胶、丁基橡胶、异戊橡胶、乙丙橡胶、丁二烯法氯丁橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶生产,,合成橡胶：溶液丁苯橡胶、丁基橡胶、异戊橡胶、乙丙橡胶、丁二烯法氯丁橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶生产
91,９,精细化工：染（颜）料、中间体、催化剂、助剂及石油添加剂新产品、新技术，染（颜）料商品化加工技术，电子、造纸用高科技化学品，食品添加剂、饲料添加剂，皮革化学品、油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维，无机粉体填料生产,,精细化工：染（颜）料、中间体、催化剂、助剂及石油添加剂新产品、新技术，染（颜）料商品化加工技术，电子、造纸用高科技化学品，食品添加剂、饲料添加剂，皮革化学品、油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维，无机粉体填料生产
92,１０,氯化法钛白粉生产,,氯化法钛白粉生产
93,１１,煤化工产品生产,,煤化工产品生产
94,１２,废气、废液、废渣综合利用,,废气、废液、废渣综合利用
95,１３,汽车尾气净化剂、催化剂及其它助剂生产,,汽车尾气净化剂、催化剂及其它助剂生产
96,１４,增加石油采收率的三次采油新技术开发与运用（中方控股或占主导地位）,中方控股或占主导地位,增加石油采收率的三次采油新技术开发与运用
97,１５,输油、输气管道及油库、石油专用码头的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,输油、输气管道及油库、石油专用码头的建设、经营
98,（十 ),机械工业,,机械工业
99,１,高性能焊接机器人和高效焊装生产线设备制造,,高性能焊接机器人和高效焊装生产线设备制造
100,２,耐高温绝缘材料（绝缘等级为Ｆ、Ｈ级）及绝缘成型件生产,,耐高温绝缘材料（绝缘等级为Ｆ、Ｈ级）及绝缘成型件生产
101,３,井下无轨采、装、运设备，１００吨及以上机械传动矿用自卸车，移动式破碎机，３０００立方米／小时及以上斗轮挖掘机，５立方米及以上矿用装载机，全断面巷道掘进机制造,,井下无轨采、装、运设备，１００吨及以上机械传动矿用自卸车，移动式破碎机，３０００立方米／小时及以上斗轮挖掘机，５立方米及以上矿用装载机，全断面巷道掘进机制造
102,４,卷筒纸和对开以上单纸张多色胶印机制造,,卷筒纸和对开以上单纸张多色胶印机制造
103,５,机电井清洗设备制造和药物生产,,机电井清洗设备制造和药物生产
104,６,年产３０万吨及以上合成氨、４８万吨及以上尿素、３０万吨及以上乙烯成套设备中的透平压缩机、混合造粒机制造（中方控股或占主导地位）,中方控股或占主导地位,年产３０万吨及以上合成氨、４８万吨及以上尿素、３０万吨及以上乙烯成套设备中的透平压缩机、混合造粒机制造
105,７,新型纺织机械、新型造纸机械（含纸浆）等成套设备制造,,新型纺织机械、新型造纸机械（含纸浆）等成套设备制造
106,８,精密在线测量仪器开发与制造,,精密在线测量仪器开发与制造
107,９,安全生产及环保检测仪器新技术设备制造,,安全生产及环保检测仪器新技术设备制造
108,１０,新型仪表元器件和材料（主要指智能型仪用传感器、仪用接插件、柔性线路板、光电开关、接近开关等新型仪用开关、仪用功能材料等）,,新型仪表元器件和材料（主要指智能型仪用传感器、仪用接插件、柔性线路板、光电开关、接近开关等新型仪用开关、仪用功能材料等）
109,１１,重要基础机械、基础件、重大技术装备等研究、设计开发中心,,重要基础机械、基础件、重大技术装备等研究、设计开发中心
110,１２,比例、伺服液压技术，低功率气动控制阀，填料静密封生产,,比例、伺服液压技术，低功率气动控制阀，填料静密封生产
111,１３,精冲模、精密型腔模、模具标准件生产,,精冲模、精密型腔模、模具标准件生产
112,１４,２５万吨／日及以上城市污水处理设备，工业废水膜处理设备，上流式厌氧流化床设备和其他生物处理废水设备，粉煤灰砌块生产设备（５—１０吨／年），废塑料再生处理设备，工业锅炉脱硫脱硝设备，大型耐高温、耐酸袋式除尘器制造,,２５万吨／日及以上城市污水处理设备，工业废水膜处理设备，上流式厌氧流化床设备和其他生物处理废水设备，粉煤灰砌块生产设备（５—１０吨／年），废塑料再生处理设备，工业锅炉脱硫脱硝设备，大型耐高温、耐酸袋式除尘器制造
113,１５,精密轴承及各种主机专用轴承制造,,精密轴承及各种主机专用轴承制造
114,１６,汽车关键零部件制造：制动器总成、驱动桥总成、变速器、柴油机燃油泵、活塞（含活塞环）、气门、液压挺杆、轴瓦、增压器、滤清器（三滤）、等速万向节、减震器、座椅调角器、车锁、后视镜、玻璃升降器、组合仪表、灯具及灯泡、专用高强度紧固件,,汽车关键零部件制造：制动器总成、驱动桥总成、变速器、柴油机燃油泵、活塞（含活塞环）、气门、液压挺杆、轴瓦、增压器、滤清器（三滤）、等速万向节、减震器、座椅调角器、车锁、后视镜、玻璃升降器、组合仪表、灯具及灯泡、专用高强度紧固件
115,１７,汽车、摩托车模具（含冲模、注塑模、模压模等）、夹具（焊装夹具、检验夹具等）制造,,汽车、摩托车模具（含冲模、注塑模、模压模等）、夹具（焊装夹具、检验夹具等）制造
116,１８,汽车、摩托车用铸锻毛坯件制造,,汽车、摩托车用铸锻毛坯件制造
117,１９,汽车、摩托车技术研究、设计开发中心,,汽车、摩托车技术研究、设计开发中心
118,２０,石油工业专用沙漠车等特种专用车生产,,石油工业专用沙漠车等特种专用车生产
119,２１,摩托车关键零部件制造：化油器、磁电机、起动电机、灯具、盘式制动器,,摩托车关键零部件制造：化油器、磁电机、起动电机、灯具、盘式制动器
120,２２,水质在线监测仪器的新技术设备制造,,水质在线监测仪器的新技术设备制造
121,２３,特种防汛抢险机械和设备制造,,特种防汛抢险机械和设备制造
122,２４,湿地土方及清淤机械制造,,湿地土方及清淤机械制造
123,２５,１０吨／小时及以上的饲料加工成套设备、关键部件生产,,１０吨／小时及以上的饲料加工成套设备、关键部件生产
124,２６,石油勘探开发新型仪器设备设计与制造,,石油勘探开发新型仪器设备设计与制造
125,（十一 ),电子工业,,电子工业
126,１,线宽０３５微米及以下大规模集成电路生产,,线宽０３５微米及以下大规模集成电路生产
127,２,新型电子元器件（含片式元器件）及电力电子元器件生产,,新型电子元器件（含片式元器件）及电力电子元器件生产
128,３,光电器件、敏感元器件及传感器生产,,光电器件、敏感元器件及传感器生产
129,４,大中型电子计算机制造,,大中型电子计算机制造
130,５,可兼容数字电视、高清晰度电视（ＨＤＴＶ）、数字磁带录放机生产,,可兼容数字电视、高清晰度电视（ＨＤＴＶ）、数字磁带录放机生产
131,６,半导体、光电子专用材料开发,,半导体、光电子专用材料开发
132,７,新型显示器件（平板显示器及显示屏）制造,,新型显示器件（平板显示器及显示屏）制造
133,８,计算机辅助设计（三维ＣＡＤ）、辅助测试（ＣＡＴ）、辅助制造（ＣＡＭ）、辅助工程（ＣＡＥ）系统及其他计算机应用系统制造,,计算机辅助设计（三维ＣＡＤ）、辅助测试（ＣＡＴ）、辅助制造（ＣＡＭ）、辅助工程（ＣＡＥ）系统及其他计算机应用系统制造
134,９,电子专用设备、仪器、工模具制造,,电子专用设备、仪器、工模具制造
135,１０,水文数据采集仪器及设备制造,,水文数据采集仪器及设备制造
136,１１,卫星通信系统设备制造,,卫星通信系统设备制造
137,１２,数字交叉连接设备制造,,数字交叉连接设备制造
138,１３,空中交通管制设备制造（不允许外商独资）,,空中交通管制设备制造（不允许外商独资）
139,１４,大容量光、磁盘存储器及其部件开发与制造,,大容量光、磁盘存储器及其部件开发与制造
140,１５,新型打印装置（激光打印机等）开发与制造,,新型打印装置（激光打印机等）开发与制造
141,１６,数据通信多媒体系统设备制造,,数据通信多媒体系统设备制造
142,１７,单模光纤生产,,单模光纤生产
143,１８,接入网通信系统设备制造,,接入网通信系统设备制造
144,１９,支撑通讯网的新技术设备制造,,支撑通讯网的新技术设备制造
145,２０,宽带综合业务数字网设备（ＩＳＤＮ）制造,,宽带综合业务数字网设备（ＩＳＤＮ）制造
146,（十二 ),建筑材料、设备及其它非金属矿制品工业,,建筑材料、设备及其它非金属矿制品工业
147,１,日熔化５００吨级及以上优质浮法玻璃生产线,,日熔化５００吨级及以上优质浮法玻璃生产线
148,２,年产５０万件及以上高档卫生瓷生产线及其配套的五金件、塑料件,,年产５０万件及以上高档卫生瓷生产线及其配套的五金件、塑料件
149,３,新型建筑材料（墙体材料、装饰装修材料、防水材料、保温材料）,,新型建筑材料（墙体材料、装饰装修材料、防水材料、保温材料）
150,４,日产４０００吨及以上水泥熟料新型干法水泥生产线（限于中西部地区）,,日产４０００吨及以上水泥熟料新型干法水泥生产线（限于中西部地区）
151,５,散装水泥仓储运输设施,,散装水泥仓储运输设施
152,６,年产１万吨及以上玻璃纤维（池窑拉丝工艺生产线）及玻璃钢制品,,年产１万吨及以上玻璃纤维（池窑拉丝工艺生产线）及玻璃钢制品
153,７,无机非金属材料及制品（石英玻璃、人工晶体）,,无机非金属材料及制品（石英玻璃、人工晶体）
154,８,玻璃、陶瓷、玻璃纤维窑炉用高档耐火材料,,玻璃、陶瓷、玻璃纤维窑炉用高档耐火材料
155,９,平板玻璃深加工技术及设备制造,,平板玻璃深加工技术及设备制造
156,１０,隧道挖掘机、城市地铁暗挖设备制造,,隧道挖掘机、城市地铁暗挖设备制造
157,１１,城市卫生特种设备制造,,城市卫生特种设备制造
158,１２,树木移栽机械设备制造,,树木移栽机械设备制造
