,output_file,content,restriction,sub_content
0,三、,制造业,,制造业
1,（二 ),轻工业,,轻工业
2,1,非金属制品模具设计、加工、制造,,非金属制品模具设计、加工、制造
3,2,纸浆（年产木浆17万吨及以上，并建设相应的原料基地）,,纸浆（年产木浆17万吨及以上，并建设相应的原料基地）
4,3,皮革后整饰加工及其新技术设备制造,,皮革后整饰加工及其新技术设备制造
5,4,无汞碱锰二次电池、锂离子电池生产,,无汞碱锰二次电池、锂离子电池生产
6,5,高技术含量的特种工业缝纫机生产,,高技术含量的特种工业缝纫机生产
7,6,聚酰亚胺保鲜薄膜生产,,聚酰亚胺保鲜薄膜生产
8,7,新型、高效酶制剂生产,,新型、高效酶制剂生产
9,8,合成香料、单离香料生产,,合成香料、单离香料生产
10,9,替代氟利昂应用技术研究及推广,,替代氟利昂应用技术研究及推广
11,10,烟用二醋酸纤维素及丝束加工,,烟用二醋酸纤维素及丝束加工
12,（三 ),纺织工业,,纺织工业
13,1,纺织化纤木浆（年产10万吨及以上，并建设相应的原料基地）,,纺织化纤木浆（年产10万吨及以上，并建设相应的原料基地）
14,2,工业用特种纺织品,,工业用特种纺织品
15,3,高仿真化纤及高档织物面料的印染及后整理加工,,高仿真化纤及高档织物面料的印染及后整理加工
16,4,纺织用助剂、油剂、染化料生产,,纺织用助剂、油剂、染化料生产
17,（四 ),交通运输、邮电通信业,,交通运输、邮电通信业
18,1,铁路运输技术设备：机车车辆及主要部件设计与制造、线路设备设计与制造、高速铁路有关技术与设备制造、通信信号和运输安全监测设备制造、电气化铁路设备和器材制造,,铁路运输技术设备：机车车辆及主要部件设计与制造、线路设备设计与制造、高速铁路有关技术与设备制造、通信信号和运输安全监测设备制造、电气化铁路设备和器材制造
19,2,支线铁路、地方铁路及其桥梁、隧道、轮渡设施的建设、经营（不允许外商独资）,不允许外商独资,支线铁路、地方铁路及其桥梁、隧道、轮渡设施的建设、经营
20,3,公路、港口新型机械设备设计与制造,,公路、港口新型机械设备设计与制造
21,4,城市地铁及轻轨的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,城市地铁及轻轨的建设、经营
22,5,公路、独立桥梁和隧道的建设、经营,,公路、独立桥梁和隧道的建设、经营
23,6,港口公用码头设施的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,港口公用码头设施的建设、经营
24,7,民用机场的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,民用机场的建设、经营
25,8,蜂窝移动通信交叉连接／码分多址（ＤＣＳ／ＣＤＭＡ）系统设备制造,,蜂窝移动通信交叉连接／码分多址（ＤＣＳ／ＣＤＭＡ）系统设备制造
26,9,25千兆比／秒（25ＧＢ／Ｓ）及以上光同步、微波同步数字系列传输设备制造,,25千兆比／秒（25ＧＢ／Ｓ）及以上光同步、微波同步数字系列传输设备制造
27,10,25千兆比／秒（25ＧＢ／Ｓ）光通信、无线通信、数据通信计量仪表制造,,25千兆比／秒（25ＧＢ／Ｓ）光通信、无线通信、数据通信计量仪表制造
28,11,异步转移模式（ＡＴＭ）交换机设备制造,,异步转移模式（ＡＴＭ）交换机设备制造
29,（五 ),煤炭工业,,煤炭工业
30,1,煤炭采掘运选设备设计与制造,,煤炭采掘运选设备设计与制造
31,2,煤炭开采与洗选（特种、稀有煤种由中方控股或占主导地位）,特种、稀有煤种由中方控股或占主导地位,煤炭开采与洗选
32,3,水煤浆、煤炭液化生产,,水煤浆、煤炭液化生产
33,4,煤炭综合开发利用,,煤炭综合开发利用
34,5,低热值燃料及伴生资源综合开发利用,,低热值燃料及伴生资源综合开发利用
35,6,煤炭管道运输,,煤炭管道运输
36,7,煤层气勘查、开发,,煤层气勘查、开发
37,（六 ),电力工业,,电力工业
38,1,单机容量30万千瓦及以上火电站的建设、经营,,单机容量30万千瓦及以上火电站的建设、经营
39,2,发电为主水电站的建设、经营,,发电为主水电站的建设、经营
40,3,核电站的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,核电站的建设、经营
41,4,煤洁净燃烧技术电站的建设、经营,,煤洁净燃烧技术电站的建设、经营
42,5,新能源电站的建设、经营（包括太阳能、风能、磁能、地热能、潮汐能、生物质能等）,,新能源电站的建设、经营（包括太阳能、风能、磁能、地热能、潮汐能、生物质能等）
43,（七 ),黑色冶金工业,,黑色冶金工业
44,1,50吨及以上超高功率电炉（配备炉外精炼和连铸）、50吨及以上转炉炼钢,,50吨及以上超高功率电炉（配备炉外精炼和连铸）、50吨及以上转炉炼钢
45,2,不锈钢冶炼,,不锈钢冶炼
46,3,冷轧硅钢片生产,,冷轧硅钢片生产
47,4,热、冷轧不锈钢板生产,,热、冷轧不锈钢板生产
48,5,石油钢管,,石油钢管
49,6,废钢加工和处理,,废钢加工和处理
50,7,铁矿、锰矿采选,,铁矿、锰矿采选
51,8,直接还原铁和熔融还原铁生产,,直接还原铁和熔融还原铁生产
52,9,高铝矾土、硬质粘土矿开采及熟料生产,,高铝矾土、硬质粘土矿开采及熟料生产
53,10,针状焦、捣固焦和煤焦油深加工,,针状焦、捣固焦和煤焦油深加工
54,11,干熄焦生产,,干熄焦生产
55,（八 ),有色金属工业,,有色金属工业
56,1,单晶硅（直径8英寸及以上）、多晶硅生产,,单晶硅（直径8英寸及以上）、多晶硅生产
57,2,硬质合金、锡化合物、锑化合物生产,,硬质合金、锡化合物、锑化合物生产
58,3,有色金属复合材料、新型合金材料生产,,有色金属复合材料、新型合金材料生产
59,4,铜、铅、锌矿开采（不允许外商独资）,不允许外商独资,铜、铅、锌矿开采
60,5,铝矿开采（不允许外商独资），年产30万吨及以上氧化铝生产,不允许外商独资,铝矿开采，年产30万吨及以上氧化铝生产
61,6,稀土应用,,稀土应用
62,（九 ),石油、石油化工及化学工业,,石油、石油化工及化学工业
63,1,烧碱用离子膜生产,,烧碱用离子膜生产
64,2,年产60万吨及以上乙烯（中方控股或占主导地位）,中方控股或占主导地位,年产60万吨及以上乙烯
65,3,聚氯乙烯树脂（中方控股或占主导地位）,中方控股或占主导地位,聚氯乙烯树脂
66,4,乙烯副产品Ｃ5－Ｃ9产品的综合利用,,乙烯副产品Ｃ5－Ｃ9产品的综合利用
67,5,工程塑料及塑料合金,,工程塑料及塑料合金
68,6,合成材料的配套原料：双酚Ａ、丁苯吡胶乳、吡啶、44′二苯基甲烷二异氰酸酯、甲苯二异氰酸酯,,合成材料的配套原料：双酚Ａ、丁苯吡胶乳、吡啶、44′二苯基甲烷二异氰酸酯、甲苯二异氰酸酯
69,7,基本有机化工原料：苯、甲苯、二甲苯（对、邻、间）衍生物产品的综合利用,,基本有机化工原料：苯、甲苯、二甲苯（对、邻、间）衍生物产品的综合利用
70,8,合成橡胶：溶液丁苯橡胶、丁基橡胶、异戊橡胶、乙丙橡胶、丁二烯法氯丁橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶生产,,合成橡胶：溶液丁苯橡胶、丁基橡胶、异戊橡胶、乙丙橡胶、丁二烯法氯丁橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶生产
71,9,精细化工：染（颜）料、中间体、催化剂、助剂及石油添加剂新产品、新技术，染（颜）料商品化加工技术，电子、造纸用高科技化学品，食品添加剂、饲料添加剂，皮革化学品、油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维，无机粉体填料生产,,精细化工：染（颜）料、中间体、催化剂、助剂及石油添加剂新产品、新技术，染（颜）料商品化加工技术，电子、造纸用高科技化学品，食品添加剂、饲料添加剂，皮革化学品、油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维，无机粉体填料生产
72,10,氯化法钛白粉生产,,氯化法钛白粉生产
73,11,煤化工产品生产,,煤化工产品生产
74,12,废气、废液、废渣综合利用,,废气、废液、废渣综合利用
75,13,汽车尾气净化剂、催化剂及其它助剂生产,,汽车尾气净化剂、催化剂及其它助剂生产
76,14,增加石油采收率的三次采油新技术开发与运用（中方控股或占主导地位）,中方控股或占主导地位,增加石油采收率的三次采油新技术开发与运用
77,15,输油、输气管道及油库、石油专用码头的建设、经营（中方控股或占主导地位）,中方控股或占主导地位,输油、输气管道及油库、石油专用码头的建设、经营
78,（十 ),机械工业,,机械工业
79,1,高性能焊接机器人和高效焊装生产线设备制造,,高性能焊接机器人和高效焊装生产线设备制造
80,2,耐高温绝缘材料（绝缘等级为Ｆ、Ｈ级）及绝缘成型件生产,,耐高温绝缘材料（绝缘等级为Ｆ、Ｈ级）及绝缘成型件生产
81,3,井下无轨采、装、运设备，100吨及以上机械传动矿用自卸车，移动式破碎机，3000立方米／小时及以上斗轮挖掘机，5立方米及以上矿用装载机，全断面巷道掘进机制造,,井下无轨采、装、运设备，100吨及以上机械传动矿用自卸车，移动式破碎机，3000立方米／小时及以上斗轮挖掘机，5立方米及以上矿用装载机，全断面巷道掘进机制造
82,4,卷筒纸和对开以上单纸张多色胶印机制造,,卷筒纸和对开以上单纸张多色胶印机制造
83,5,机电井清洗设备制造和药物生产,,机电井清洗设备制造和药物生产
84,6,年产30万吨及以上合成氨、48万吨及以上尿素、30万吨及以上乙烯成套设备中的透平压缩机、混合造粒机制造（中方控股或占主导地位）,中方控股或占主导地位,年产30万吨及以上合成氨、48万吨及以上尿素、30万吨及以上乙烯成套设备中的透平压缩机、混合造粒机制造
85,7,新型纺织机械、新型造纸机械（含纸浆）等成套设备制造,,新型纺织机械、新型造纸机械（含纸浆）等成套设备制造
86,8,精密在线测量仪器开发与制造,,精密在线测量仪器开发与制造
87,9,安全生产及环保检测仪器新技术设备制造,,安全生产及环保检测仪器新技术设备制造
88,10,新型仪表元器件和材料（主要指智能型仪用传感器、仪用接插件、柔性线路板、光电开关、接近开关等新型仪用开关、仪用功能材料等）,,新型仪表元器件和材料（主要指智能型仪用传感器、仪用接插件、柔性线路板、光电开关、接近开关等新型仪用开关、仪用功能材料等）
89,11,重要基础机械、基础件、重大技术装备等研究、设计开发中心,,重要基础机械、基础件、重大技术装备等研究、设计开发中心
90,12,比例、伺服液压技术，低功率气动控制阀，填料静密封生产,,比例、伺服液压技术，低功率气动控制阀，填料静密封生产
91,13,精冲模、精密型腔模、模具标准件生产,,精冲模、精密型腔模、模具标准件生产
92,14,25万吨／日及以上城市污水处理设备，工业废水膜处理设备，上流式厌氧流化床设备和其他生物处理废水设备，粉煤灰砌块生产设备（5－10吨／年），废塑料再生处理设备，工业锅炉脱硫脱硝设备，大型耐高温、耐酸袋式除尘器制造,,25万吨／日及以上城市污水处理设备，工业废水膜处理设备，上流式厌氧流化床设备和其他生物处理废水设备，粉煤灰砌块生产设备（5－10吨／年），废塑料再生处理设备，工业锅炉脱硫脱硝设备，大型耐高温、耐酸袋式除尘器制造
93,15,精密轴承及各种主机专用轴承制造,,精密轴承及各种主机专用轴承制造
94,16,汽车关键零部件制造：制动器总成、驱动桥总成、变速器、柴油机燃油泵、活塞（含活塞环）、气门、液压挺杆、轴瓦、增压器、滤清器（三滤）、等速万向节、减震器、座椅调角器、车锁、后视镜、玻璃升降器、组合仪表、灯具及灯泡、专用高强度紧固件,,汽车关键零部件制造：制动器总成、驱动桥总成、变速器、柴油机燃油泵、活塞（含活塞环）、气门、液压挺杆、轴瓦、增压器、滤清器（三滤）、等速万向节、减震器、座椅调角器、车锁、后视镜、玻璃升降器、组合仪表、灯具及灯泡、专用高强度紧固件
95,17,汽车、摩托车模具（含冲模、注塑模、模压模等）、夹具（焊装夹具、检验夹具等）制造,,汽车、摩托车模具（含冲模、注塑模、模压模等）、夹具（焊装夹具、检验夹具等）制造
96,18,汽车、摩托车用铸锻毛坯件制造,,汽车、摩托车用铸锻毛坯件制造
97,19,汽车、摩托车技术研究、设计开发中心,,汽车、摩托车技术研究、设计开发中心
98,20,石油工业专用沙漠车等特种专用车生产,,石油工业专用沙漠车等特种专用车生产
99,21,摩托车关键零部件制造：化油器、磁电机、起动电机、灯具、盘式制动器,,摩托车关键零部件制造：化油器、磁电机、起动电机、灯具、盘式制动器
100,22,水质在线监测仪器的新技术设备制造,,水质在线监测仪器的新技术设备制造
101,23,特种防汛抢险机械和设备制造,,特种防汛抢险机械和设备制造
102,24,湿地土方及清淤机械制造,,湿地土方及清淤机械制造
103,25,10吨／小时及以上的饲料加工成套设备、关键部件生产,,10吨／小时及以上的饲料加工成套设备、关键部件生产
104,26,石油勘探开发新型仪器设备设计与制造,,石油勘探开发新型仪器设备设计与制造
105,（十一 ),电子工业,,电子工业
106,1,线宽035微米及以下大规模集成电路生产,,线宽035微米及以下大规模集成电路生产
107,2,新型电子元器件（含片式元器件）及电力电子元器件生产,,新型电子元器件（含片式元器件）及电力电子元器件生产
108,3,光电器件、敏感元器件及传感器生产,,光电器件、敏感元器件及传感器生产
109,4,大中型电子计算机制造,,大中型电子计算机制造
110,5,可兼容数字电视、高清晰度电视（ＨＤＴＶ）、数字磁带录放机生产,,可兼容数字电视、高清晰度电视（ＨＤＴＶ）、数字磁带录放机生产
111,6,半导体、光电子专用材料开发,,半导体、光电子专用材料开发
112,7,新型显示器件（平板显示器及显示屏）制造,,新型显示器件（平板显示器及显示屏）制造
113,8,计算机辅助设计（三维ＣＡＤ）、辅助测试（ＣＡＴ）、辅助制造（ＣＡＭ）、辅助工程（ＣＡＥ）系统及其他计算机应用系统制造,,计算机辅助设计（三维ＣＡＤ）、辅助测试（ＣＡＴ）、辅助制造（ＣＡＭ）、辅助工程（ＣＡＥ）系统及其他计算机应用系统制造
114,9,电子专用设备、仪器、工模具制造,,电子专用设备、仪器、工模具制造
115,10,水文数据采集仪器及设备制造,,水文数据采集仪器及设备制造
116,11,卫星通信系统设备制造,,卫星通信系统设备制造
117,12,数字交叉连接设备制造,,数字交叉连接设备制造
118,13,空中交通管制设备制造（不允许外商独资）,不允许外商独资,空中交通管制设备制造
119,14,大容量光、磁盘存储器及其部件开发与制造,,大容量光、磁盘存储器及其部件开发与制造
