,output_file,content,restriction,sub_content
0,三、,制造业 ,,制造业 
1,（一 ),食品加工业 ,,食品加工业 
2,1, 粮食、蔬菜、水果、禽畜产品的储藏及加工,, 粮食、蔬菜、水果、禽畜产品的储藏及加工
3,2, 水产品加工、贝类净化及加工、海藻功能食品开发,, 水产品加工、贝类净化及加工、海藻功能食品开发
4,3, 果蔬饮料、蛋白饮料、茶饮料、咖啡饮料的开发、生产,, 果蔬饮料、蛋白饮料、茶饮料、咖啡饮料的开发、生产
5,4, 婴儿、老年食品及功能食品的开发、生产,, 婴儿、老年食品及功能食品的开发、生产
6,5, 乳制品生产,, 乳制品生产
7,6, 生物饲料、蛋白饲料的开发、生产,, 生物饲料、蛋白饲料的开发、生产
8,（二 ),烟草加工业 ,,烟草加工业 
9,1, 二醋酸纤维素及丝束加工,, 二醋酸纤维素及丝束加工
10,2, 造纸法烟草薄片生产,, 造纸法烟草薄片生产
11,（三 ),纺织业 ,,纺织业 
12,1, 工程用特种纺织品生产,, 工程用特种纺织品生产
13,2, 高档织物面料的织染及后整理加工,, 高档织物面料的织染及后整理加工
14,（四 ),皮革、皮毛制品业 ,,皮革、皮毛制品业 
15,1, 猪、牛、羊蓝湿皮新技术加工,, 猪、牛、羊蓝湿皮新技术加工
16,2, 皮革后整饰新技术加工,, 皮革后整饰新技术加工
17,（五 ),木材加工及竹、藤、棕、草制品业 ,,木材加工及竹、藤、棕、草制品业 
18,1, 林区“次、小、薪”材和竹材的综合利用新技术、新产品开发与生产,, 林区“次、小、薪”材和竹材的综合利用新技术、新产品开发与生产
19,（六 ),造纸及纸制品业 ,,造纸及纸制品业 
20,1, 年产30万吨及以上化学木浆、年产10万吨及以上化学机械木浆（CTMP、BCTMP、APMP）和原料林基地的林木浆一体化工程的建设、经营（限于合资、合作）,限于合资、合作, 年产30万吨及以上化学木浆、年产10万吨及以上化学机械木浆（CTMP、BCTMP、APMP）和原料林基地的林木浆一体化工程的建设、经营
21,2, 高档纸及纸板生产（新闻纸除外）,, 高档纸及纸板生产（新闻纸除外）
22,（七 ),石油加工及炼焦业 ,,石油加工及炼焦业 
23,1, 针状焦、煤焦油深加工,, 针状焦、煤焦油深加工
24,2, 捣固焦、干熄焦生产,, 捣固焦、干熄焦生产
25,3, 重交通道路沥青生产,, 重交通道路沥青生产
26,（八 ),化学原料及化学品制造业 ,,化学原料及化学品制造业 
27,1, 重油催化裂化制烯烃生产,, 重油催化裂化制烯烃生产
28,2, 年产60万吨及以上规模乙烯生产（中方相对控股）,中方相对控股, 年产60万吨及以上规模乙烯生产
29,3, 乙烯副产品C5-C9产品的综合利用,, 乙烯副产品C5-C9产品的综合利用
30,4, 大型聚氯乙烯树脂生产（乙烯法）,, 大型聚氯乙烯树脂生产（乙烯法）
31,5, 有机氯系列化工产品生产（高残留有机氯产品除外）,, 有机氯系列化工产品生产（高残留有机氯产品除外）
32,6, 基本有机化工原料：苯、甲苯、二甲苯（对、邻、间）衍生物产品的综合利用,, 基本有机化工原料：苯、甲苯、二甲苯（对、邻、间）衍生物产品的综合利用
33,7, 合成材料的配套原料：双酚A、44＇二苯基甲烷二异氰酸酯、甲苯二异氰酸酯生产,, 合成材料的配套原料：双酚A、44＇二苯基甲烷二异氰酸酯、甲苯二异氰酸酯生产
34,8, 合成纤维原料：精对苯二甲酸、丙烯腈、己内酰胺、尼龙66盐生产,, 合成纤维原料：精对苯二甲酸、丙烯腈、己内酰胺、尼龙66盐生产
35,9, 合成橡胶：溶液丁苯橡胶、丁基橡胶、异戊橡胶、丁二烯法氯丁橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶生产,, 合成橡胶：溶液丁苯橡胶、丁基橡胶、异戊橡胶、丁二烯法氯丁橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶生产
36,10, 工程塑料及塑料合金生产,, 工程塑料及塑料合金生产
